id,name,address,lon,lat
70000001105864605,"Бишкек-1, банкетный зал","Канонерский остров, 22/1",30.220219,59.903347
5348552838665541,"The Plaсe, ресторан-клуб","улица Маршала Говорова, 47",30.28971,59.899616
70000001037680201,"Токио-City, городские рестораны","площадь Стачек, 9",30.273347,59.900015
70000001034787804,"Кузу, ресторан-банкетный зал","Краснопутиловская улица, 14/12",30.265483,59.872686
5348552838670581,"Контакт, бар","площадь Стачек, 7",30.27241,59.900719
70000001082676689,"Брынза, чебуречная","улица Зайцева, 13",30.266993,59.872325
70000001061204088,"Inside, бар","Стачек проспект, 72",30.263218,59.879312
70000001032233859,"Теремок, ресторан домашней кухни","площадь Стачек, 9",30.272793,59.900275
70000001017509737,"Штолле, кафе-пироговая","Стачек проспект, 74/1",30.258889,59.876153
70000001047056393,"Ислом-ата, кафе-чайхана","Автовская улица, 35 лит А",30.279171,59.877351
5348553838757210,"Екатерингоф, кафе-бар","Перекопская улица, 8",30.269305,59.902236
70000001045834745,"La`gom, кафе","Ивана Черных, 10Б",30.280241,59.901225
70000001069303805,У Яши,"Севастопольская улица, 29",30.2664,59.891062
70000001021363332,"Кабанчик, кафе","Стачек проспект, 32",30.270656,59.888975
70000001052561412,"Пироговый дворик, кафе-пекарня","Стачек проспект, 2",30.275018,59.899718
5348552838587509,"Егриси, кафе","Стачек проспект, 22",30.272795,59.890954
70000001007421126,"Люблю кебаб, кафе","Краснопутиловская улица, 21",30.267645,59.871081
70000001093178966,"Угу, кафе быстрого питания","дорога на Турухтанные острова, 22а",30.231685,59.87
70000001099075011,"ШашлычОк, кафе","Двинская улица, 10",30.247939,59.909032
70000001064908369,"Порт, кафе","Гапсальская улица, 12",30.259502,59.911213
70000001100245443,"Tiger Tea, чайная с шариками","площадь Стачек, 9",30.27256,59.900229
70000001036980625,"Все обедают на кухне, кафе","Двинская улица, 3",30.255765,59.90923
5348553838491308,"Токио-City, городские рестораны","проспект Ветеранов, 114 к1",30.199946,59.832724
70000001038420666,"Белые ночи, ресторан","улица Бурцева, 23 лит А",30.213298,59.835184
70000001036430101,"Мароканд, чайхана","улица Солдата Корзуна, 40",30.221178,59.831504
5348552838480167,"Joy`s pizza, пиццерия","проспект Ветеранов, 91 к1",30.212968,59.833787
70000001083405895,Renai,"Стачек проспект, 216 к2",30.2245,59.84686
5348553838823092,"Пироговый дворик, кафе-пекарня","проспект Ветеранов, 108 к1",30.206383,59.832835
5348552840365046,"Горка, кафе","проспект Ветеранов, 78",30.216984,59.833106
70000001045330880,"Жара, кафе","Стойкости, 8",30.217127,59.827655
5348553838877213,"Pizza Italiana, пиццерия","проспект Ветеранов, 101",30.204415,59.834021
70000001048241388,"Vлаvаше, кафе","проспект Ветеранов, 91 к1 ст1",30.213102,59.833863
70000001089450335,"СПБ шаверма, кафе","Стойкости, 20 к2",30.206814,59.827115
