address,address_name,id,name,point,rubrics,type,address_comment,full_name,purpose_name,_collected_at,lat,lon,cluster
"{'building_id': '5348660212717427', 'building_name': None, 'components': array([{'number': '8', 'street': 'Перекопская улица', 'street_id': '5348763291877482', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","Перекопская улица, 8",5348553838757210,"Екатерингоф, кафе-бар","{'lat': 59.902236, 'lon': 30.269305}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,"Санкт-Петербург, Перекопская улица, 8","Кафе, бар",2025-11-25 15:09:43.574079,59.902236,30.269305,2
"{'building_id': '5348660233500834', 'building_name': None, 'components': array([{'number': '10Б', 'street': 'Ивана Черных', 'street_id': '5348763291877401', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","Ивана Черных, 10Б",70000001045834745,"La`gom, кафе","{'lat': 59.901225, 'lon': 30.280241}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,"Санкт-Петербург, Ивана Черных, 10Б","Кафе, бар",2025-11-25 15:09:43.574079,59.901225,30.280241,2
"{'building_id': '5348660212685736', 'building_name': None, 'components': array([{'number': '29', 'street': 'Севастопольская улица', 'street_id': '5348763291877573', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198097'}","Севастопольская улица, 29",70000001069303805,У Яши,"{'lat': 59.891062, 'lon': 30.2664}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,,,,2025-11-25 15:09:43.574079,59.891062,30.2664,2
"{'building_id': '5348660212686057', 'building_name': None, 'components': array([{'number': '32', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198097'}","Стачек проспект, 32",70000001021363332,"Кабанчик, кафе","{'lat': 59.888975, 'lon': 30.270656}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1-2 этаж,,,2025-11-25 15:09:43.574079,59.888975,30.270656,2
"{'building_id': '5348660212707345', 'building_name': None, 'components': array([{'number': '2', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","Стачек проспект, 2",70000001052561412,"Пироговый дворик, кафе-пекарня","{'lat': 59.899718, 'lon': 30.275018}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'pekarni', 'id': '111594', 'kind': 'primary', 'name': 'Пекарни', 'parent_id': '2', 'short_id': 111594}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'additional', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'konditerskie_izdeliya', 'id': '363', 'kind': 'additional', 'name': 'Кондитерские изделия', 'parent_id': '14', 'short_id': 363}]",branch,,,,2025-11-25 15:09:43.574079,59.899718,30.275018,2
"{'building_id': '5348660212707652', 'building_name': None, 'components': array([{'number': '22', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","Стачек проспект, 22",5348552838587509,"Егриси, кафе","{'lat': 59.890954, 'lon': 30.272795}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,,,2025-11-25 15:09:43.574079,59.890954,30.272795,2
"{'building_id': '5348660212708981', 'building_name': None, 'components': array([{'number': '21', 'street': 'Краснопутиловская улица', 'street_id': '5348763291877741', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198152'}","Краснопутиловская улица, 21",70000001007421126,"Люблю кебаб, кафе","{'lat': 59.871081, 'lon': 30.267645}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,,,2025-11-25 15:09:43.574079,59.871081,30.267645,2
"{'building_id': '5348660212672519', 'building_name': None, 'components': array([{'number': '22а', 'street': 'дорога на Турухтанные острова', 'street_id': '5348763291878010', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198096'}","дорога на Турухтанные острова, 22а",70000001093178966,"Угу, кафе быстрого питания","{'lat': 59.87, 'lon': 30.231685}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'primary', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'prodazha_kofe', 'id': '558', 'kind': 'additional', 'name': 'Продажа кофе', 'parent_id': '14', 'short_id': 558}]",branch,,"Санкт-Петербург, дорога на Турухтанные острова, 22а",Торговый павильон,2025-11-25 15:09:43.574079,59.87,30.231685,-1
"{'building_id': '5348660212717979', 'building_name': None, 'components': array([{'number': '10', 'street': 'Двинская улица', 'street_id': '5348763291878123', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198035'}","Двинская улица, 10",70000001099075011,"ШашлычОк, кафе","{'lat': 59.909032, 'lon': 30.247939}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,,,,2025-11-25 15:09:43.574079,59.909032,30.247939,3
"{'building_id': '5348660212713592', 'building_name': None, 'components': array([{'number': '12', 'street': 'Гапсальская улица', 'street_id': '5348763291878249', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198035'}","Гапсальская улица, 12",70000001064908369,"Порт, кафе","{'lat': 59.911213, 'lon': 30.259502}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.911213,30.259502,3
"{'building_id': '5348660212745091', 'building_name': None, 'components': array([{'number': '9', 'street': 'площадь Стачек', 'street_id': None, 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198095'}","площадь Стачек, 9",70000001100245443,"Tiger Tea, чайная с шариками","{'lat': 59.900229, 'lon': 30.27256}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'kofejjni', 'id': '162', 'kind': 'additional', 'name': 'Кофейни', 'parent_id': '2', 'short_id': 162}]",branch,,,,2025-11-25 15:09:43.574079,59.900229,30.27256,2
"{'building_id': '5348660212713730', 'building_name': None, 'components': array([{'number': '3', 'street': 'Двинская улица', 'street_id': '5348763291878123', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198035'}","Двинская улица, 3",70000001036980625,"Все обедают на кухне, кафе","{'lat': 59.90923, 'lon': 30.255765}","[{'alias': 'stolovye', 'id': '166', 'kind': 'primary', 'name': 'Столовые', 'parent_id': '2', 'short_id': 166}
 {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'additional', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.90923,30.255765,3
"{'building_id': '5348660212732835', 'building_name': None, 'components': array([{'number': '114 к1', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198261'}","проспект Ветеранов, 114 к1",5348553838491308,"Токио-City, городские рестораны","{'lat': 59.832724, 'lon': 30.199946}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'sushi_bary', 'id': '15791', 'kind': 'additional', 'name': 'Суши-бары', 'parent_id': '2', 'short_id': 15791}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.832724,30.199946,4
"{'building_id': '5348660212731156', 'building_name': None, 'components': array([{'number': '23 лит А', 'street': 'улица Бурцева', 'street_id': '5348763291879942', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","улица Бурцева, 23 лит А",70000001038420666,"Белые ночи, ресторан","{'lat': 59.835184, 'lon': 30.213298}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.835184,30.213298,4
"{'building_id': '5348660212730320', 'building_name': None, 'components': array([{'number': '40', 'street': 'улица Солдата Корзуна', 'street_id': '5348763291879911', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","улица Солдата Корзуна, 40",70000001036430101,"Мароканд, чайхана","{'lat': 59.831504, 'lon': 30.221178}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'primary', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.831504,30.221178,4
"{'building_id': '5348660212730724', 'building_name': None, 'components': array([{'number': '91 к1', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","проспект Ветеранов, 91 к1",5348552838480167,"Joy`s pizza, пиццерия","{'lat': 59.833787, 'lon': 30.212968}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'piccerii', 'id': '51459', 'kind': 'primary', 'name': 'Пиццерии', 'parent_id': '2', 'short_id': 51459}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,1 этаж,,,2025-11-25 15:09:43.574079,59.833787,30.212968,4
"{'building_id': '5348660248884300', 'building_name': None, 'components': array([{'number': '216 к2', 'street': 'Стачек проспект', 'street_id': '5348763291877487', 'type': 'street_number'}],
      dtype=object), 'landmark_name': 'ЖК Шереметьевский дворец', 'postcode': '198262'}","Стачек проспект, 216 к2",70000001083405895,Renai,"{'lat': 59.84686, 'lon': 30.2245}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'sushi_bary', 'id': '15791', 'kind': 'primary', 'name': 'Суши-бары', 'parent_id': '2', 'short_id': 15791}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,,,2025-11-25 15:09:43.574079,59.84686,30.2245,2
"{'building_id': '5348660212730618', 'building_name': None, 'components': array([{'number': '108 к1', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198261'}","проспект Ветеранов, 108 к1",5348553838823092,"Пироговый дворик, кафе-пекарня","{'lat': 59.832835, 'lon': 30.206383}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'pekarni', 'id': '111594', 'kind': 'primary', 'name': 'Пекарни', 'parent_id': '2', 'short_id': 111594}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'additional', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}]",branch,,,,2025-11-25 15:09:43.574079,59.832835,30.206383,4
"{'building_id': '5348660212740586', 'building_name': None, 'components': array([{'number': '78', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","проспект Ветеранов, 78",5348552840365046,"Горка, кафе","{'lat': 59.833106, 'lon': 30.216984}","[{'alias': 'kafe', 'id': '161', 'kind': 'primary', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}]",branch,,,,2025-11-25 15:09:43.574079,59.833106,30.216984,4
"{'building_id': '5348660212729919', 'building_name': None, 'components': array([{'number': '8', 'street': 'Стойкости', 'street_id': '5348763291879971', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","Стойкости, 8",70000001045330880,"Жара, кафе","{'lat': 59.827655, 'lon': 30.217127}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'primary', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}]",branch,цокольный этаж,,,2025-11-25 15:09:43.574079,59.827655,30.217127,4
"{'building_id': '5348660212732409', 'building_name': 'ТК Ульянка', 'components': array([{'number': '101', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198261'}","проспект Ветеранов, 101",5348553838877213,"Pizza Italiana, пиццерия","{'lat': 59.834021, 'lon': 30.204415}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'piccerii', 'id': '51459', 'kind': 'primary', 'name': 'Пиццерии', 'parent_id': '2', 'short_id': 51459}]",branch,4 этаж,,,2025-11-25 15:09:43.574079,59.834021,30.204415,4
"{'building_id': '70030076277058382', 'building_name': None, 'components': array([{'number': '91 к1 ст1', 'street': 'проспект Ветеранов', 'street_id': '5348763291878152', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","проспект Ветеранов, 91 к1 ст1",70000001048241388,"Vлаvаше, кафе","{'lat': 59.833863, 'lon': 30.213102}","[{'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'primary', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,"Санкт-Петербург, проспект Ветеранов, 91 к1 ст1","Кафе, бар",2025-11-25 15:09:43.574079,59.833863,30.213102,4
"{'building_id': '70030076813493332', 'building_name': None, 'components': array([{'number': '20 к2', 'street': 'Стойкости', 'street_id': '5348763291879971', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198260'}","Стойкости, 20 к2",70000001089450335,"СПБ шаверма, кафе","{'lat': 59.827115, 'lon': 30.206814}","[{'alias': 'bystroe_pitanie', 'id': '165', 'kind': 'primary', 'name': 'Быстрое питание', 'parent_id': '2', 'short_id': 165}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,,,,2025-11-25 15:09:43.574079,59.827115,30.206814,4
"{'building_id': '5348660212722394', 'building_name': None, 'components': array([{'number': '121 к5', 'street': 'Ленинский проспект', 'street_id': '5348763291878132', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198207'}","Ленинский проспект, 121 к5",70000001100405523,"Токио-City, городские рестораны","{'lat': 59.851491, 'lon': 30.261231}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'sushi_bary', 'id': '15791', 'kind': 'primary', 'name': 'Суши-бары', 'parent_id': '2', 'short_id': 15791}
 {'alias': 'restorany', 'id': '164', 'kind': 'additional', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}]",branch,2 этаж,,,2025-11-25 15:09:43.574079,59.851491,30.261231,2
"{'building_id': '5348660212669482', 'building_name': None, 'components': array([{'number': '18', 'street': 'Дачный проспект', 'street_id': '5348763291878163', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198215'}","Дачный проспект, 18",70000001020556069,"Токио-City, городские рестораны","{'lat': 59.842309, 'lon': 30.255018}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'sushi_bary', 'id': '15791', 'kind': 'additional', 'name': 'Суши-бары', 'parent_id': '2', 'short_id': 15791}]",branch,2 этаж,,,2025-11-25 15:09:43.574079,59.842309,30.255018,2
"{'building_id': '5348660212726397', 'building_name': None, 'components': array([{'number': '12 к2', 'street': 'улица Маршала Казакова', 'street_id': '5348763291878103', 'type': 'street_number'}],
      dtype=object), 'landmark_name': None, 'postcode': '198302'}","улица Маршала Казакова, 12 к2",5348552838550308,"БульВар, ресторанный комплекс","{'lat': 59.859201, 'lon': 30.238983}","[{'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}
 {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}
 {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}
 {'alias': 'banketnye_zaly', 'id': '10803', 'kind': 'additional', 'name': 'Банкетные залы', 'parent_id': '2', 'short_id': 10803}
 {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}]",branch,,"Санкт-Петербург, улица Маршала Казакова, 12 к2",Ресторан,2025-11-25 15:09:43.574079,59.859201,30.238983,2
